"siteID","domain","latitude","longitude","elevation_m","soil_order","soil_suborder","n_samples","n_years","years_sampled","first_sample","last_sample"
"BART","D01",44.0621,-71.2859,291,"Orthod","Orthod",178,1,"2022",2022-04-25,2022-10-06
"HARV","D01",42.4895,-72.2752,189.8,"Udept","Udept",529,6,"2018, 2020, 2021, 2022, 2023, 2024",2018-04-17,2024-10-21
"BLAN","D02",39.0789,-77.9637,121.8,"Udalf","Udalf",81,1,"2020",2020-03-09,2020-10-14
"SCBI","D02",38.8946,-78.1396,364.6,"Udalf","Udalf",453,6,"2017, 2020, 2021, 2022, 2023, 2024",2017-03-28,2024-11-13
"SERC","D02",38.8908,-76.554,8.5,"Udult","Udult",84,1,"2021",2021-03-29,2021-10-19
"DSNY","D03",28.0439,-81.3936,19.7,"Aquod","Aquod",133,2,"2018, 2023",2018-03-06,2023-10-31
"JERC","D03",31.1968,-84.4682,36,"Udult","Udult",180,2,"2019, 2024",2019-03-18,2024-10-23
"OSBS","D03",29.6872,-81.9697,39.2,"Psamment","Psamment",396,5,"2020, 2021, 2022, 2023, 2024",2020-07-06,2024-10-30
"GUAN","D04",17.9703,-66.8246,86.6,"Calcids","Calcids",443,7,"2018, 2019, 2020, 2021, 2022, 2023, 2024",2018-09-24,2024-09-05
"LAJA","D04",18.0202,-67.0755,13.2,"Ustert","Ustert",90,1,"2020",2020-07-13,2020-12-17
"STEI","D05",45.7979,-90.0642,508.4,"Aquod","Aquod",103,2,"2017, 2022",2017-04-19,2022-10-05
"TREE","D05",45.4936,-89.5922,465.5,"Orthod","Orthod",62,1,"2020",2020-07-06,2020-10-08
"UNDE","D05",46.2546,-89.5127,530,"Aquod","Aquod",549,6,"2019, 2020, 2021, 2022, 2023, 2024",2019-05-13,2024-09-30
"KONA","D06",39.2216,-96.5826,317.8,"Udoll","Udoll",178,2,"2019, 2024",2019-04-01,2024-10-09
"KONZ","D06",39.0881,-96.5703,404.2,"Ustoll","Ustoll",467,6,"2017, 2020, 2021, 2022, 2023, 2024",2017-04-11,2024-10-16
"UKFS","D06",39.0376,-95.197,311.5,"Udoll","Udoll",90,1,"2023",2023-04-03,2023-11-02
"GRSM","D07",35.6789,-83.6453,522.7,"Udept","Udept",119,1,"2021",2021-04-05,2021-10-21
"MLBS","D07",37.4279,-80.5718,806.2,"Aquents","Aquents",118,2,"2018, 2023",2018-04-23,2023-10-11
"ORNL","D07",35.9556,-84.2213,277.6,"Udult","Udult",503,6,"2017, 2020, 2021, 2022, 2023, 2024",2017-04-04,2024-11-06
"DELA","D08",32.5234,-87.8146,27.2,"Udult","Udult",174,2,"2019, 2024",2019-05-13,2024-11-05
"LENO","D08",31.8575,-88.1633,12.6,"Aquepts","Aquepts",117,2,"2018, 2023",2018-11-05,2023-11-08
"TALL","D08",32.9502,-87.3973,116.8,"Udult","Udult",491,6,"2017, 2020, 2021, 2022, 2023, 2024",2017-04-04,2024-10-31
"DCFS","D09",47.1634,-99.1157,568.5,"Udoll","Udoll",179,2,"2019, 2023",2019-05-01,2023-10-05
"NOGP","D09",46.8061,-100.9154,526.2,"Ustoll","Ustoll",43,1,"2020",2020-07-01,2020-10-01
"WOOD","D09",47.1283,-99.2578,596.3,"Ustoll","Ustoll",378,5,"2020, 2021, 2022, 2023, 2024",2020-08-03,2024-10-09
"CPER","D10",40.8189,-104.7489,1652.1,"Ustoll","Ustoll",365,5,"2020, 2021, 2022, 2023, 2024",2020-06-23,2024-11-05
"RMNP","D10",40.1868,-105.5409,2814.7,"Cryoll","Cryoll",62,1,"2020",2020-06-29,2020-10-01
"STER","D10",40.4707,-103.0117,1353.3,"Ustoll","Ustoll",122,2,"2017, 2022",2017-04-05,2022-10-18
"CLBJ","D11",33.3788,-97.6467,330.4,"Ustalf","Ustalf",468,6,"2019, 2020, 2021, 2022, 2023, 2024",2019-03-04,2024-10-23
"OAES","D11",35.4127,-99.0583,515.1,"Ustept","Ustept",119,2,"2018, 2023",2018-10-15,2023-08-09
"YELL","D12",44.9446,-110.4337,1901.5,"Ustoll","Ustoll",278,5,"2020, 2021, 2022, 2023, 2024",2020-07-08,2024-10-09
"MOAB","D13",38.2333,-109.3974,1762.9,"Calcid","Calcid",164,2,"2017, 2022",2017-03-27,2022-10-24
"NIWO","D13",40.0547,-105.5865,3540.9,"Cryoll","Cryoll",510,6,"2019, 2020, 2021, 2022, 2023, 2024",2019-06-17,2024-09-18
"JORN","D14",32.5921,-106.8433,1321.9,"Calcid","Calcid",169,2,"2017, 2022",2017-06-27,2022-10-25
"SRER","D14",31.9095,-110.8334,1002.3,"Fluvent","Fluvent",390,5,"2020, 2021, 2022, 2023, 2024",2020-10-27,2024-11-05
"ONAQ","D15",40.1585,-112.5216,1795.9,"Calcid","Calcid",356,5,"2020, 2021, 2022, 2023, 2024",2020-07-09,2024-10-30
"ABBY","D16",45.7605,-122.33,362.2,"Udept","Udept",64,1,"2022",2022-04-18,2022-11-07
"WREF","D16",45.829,-121.9585,371.3,"Udand","Udand",484,6,"2019, 2020, 2021, 2022, 2023, 2024",2019-04-29,2024-10-21
"SJER","D17",37.1235,-119.7485,499.5,"Xeroll","Xeroll",472,7,"2018, 2019, 2020, 2021, 2022, 2023, 2024",2018-10-10,2024-11-21
"SOAP","D17",37.0307,-119.2818,1294.6,"Xeralf","Xeralf",90,2,"2018, 2024",2018-10-22,2024-11-19
"TEAK","D17",36.9997,-119.011,2141.8,"Xerept","Xerept",75,1,"2021",2021-05-03,2021-10-13
"BARR","D18",71.2809,-156.6369,6,"Turbel","Turbel",44,1,"2022",2022-08-24,2022-08-28
"TOOL","D18",68.6667,-149.3698,827.4,"Turbel","Turbel",142,5,"2017, 2021, 2022, 2023, 2024",2017-07-19,2024-07-19
"BONA","D19",65.155,-147.5072,246.1,"Turbel","Turbel",234,6,"2019, 2020, 2021, 2022, 2023, 2024",2019-08-26,2024-07-12
"DEJU","D19",63.8809,-145.743,509.1,"Cryept","Cryept",54,2,"2018, 2023",2018-06-21,2023-06-29
"HEAL","D19",63.8734,-149.2164,691,"Turbel","Turbel",54,1,"2021",2021-06-22,2021-06-26
"PUUM","D20",19.5536,-155.3192,1707.9,"Udand","Udand",545,7,"2018, 2019, 2020, 2021, 2022, 2023, 2024",2018-11-08,2024-11-14
