"siteID","c8To0ScaledConcentration","c10To0ScaledConcentration","c11To0ScaledConcentration","lipid2OH10To0ScaledConcentration","c12To0ScaledConcentration","c13To0ScaledConcentration","lipid2OH12To0ScaledConcentration","lipid3OH12To0ScaledConcentration","c14To1ScaledConcentration","c14To0ScaledConcentration","i14To0ScaledConcentration","i15To0ScaledConcentration","aC15To0ScaledConcentration","c15To0ScaledConcentration","c15To1ScaledConcentration","lipid2OH14To0ScaledConcentration","lipid3OH14To0ScaledConcentration","i16To0ScaledConcentration","cis16To1n9ScaledConcentration","c16To1n7ScaledConcentration","c16To1Cis11ScaledConcentration","c16To0ScaledConcentration","lipid10Methyl16To0ScaledConcentration","i17To0ScaledConcentration","c17To1ScaledConcentration","cyclo17To0ScaledConcentration","c17To0ScaledConcentration","c17To0AnteisoScaledConcentration","c17To1n7ScaledConcentration","lipid2OH16To0ScaledConcentration","lipid10Methyl17To0ScaledConcentration","lipid10Methyl17To1ScaledConcentration","c18To1n13ScaledConcentration","c18To3n6ScaledConcentration","cis18To2n912ScaledConcentration","cis18To1n9ScaledConcentration","trans18To1n9ScaledConcentration","trans18To2n912ScaledConcentration","c18To3n3ScaledConcentration","c18To1n11ScaledConcentration","c18To0ScaledConcentration","lipid10Methyl18To0ScaledConcentration","lipid10Methyl18To1ScaledConcentration","cyclo19To0ScaledConcentration","c19To1Cis10ScaledConcentration","c20To4n6ScaledConcentration","c20To5n3ScaledConcentration","c20To3n6ScaledConcentration","c20To2ScaledConcentration","c20To1ScaledConcentration","c20To3n3ScaledConcentration","c20To0ScaledConcentration","c21To0ScaledConcentration","c22To2ScaledConcentration","c22To1n9ScaledConcentration","c22To0ScaledConcentration","c22To6CisScaledConcentration","c23To0ScaledConcentration","c24To1ScaledConcentration","c24To0ScaledConcentration"
"ABBY",0,0,0,0,100,0,0,0,17.2,100,100,100,100,100,0,0,0,100,100,100,100,100,100,100,59.4,100,100,100,100,3.1,100,100,64.1,31.2,100,100,0,0,0,100,100,100,100,100,0,93.8,93.8,76.6,85.9,46.9,0,1.6,1.6,1.6,1.6,1.6,14.1,0,3.1,1.6
"BARR",0,0,0,0,95.5,50,0,0,6.8,100,100,100,100,100,0,0,0,100,100,65.9,100,100,100,100,0,95.5,100,100,86.4,4.5,88.6,54.5,59.1,9.1,100,100,0,0,0,100,100,95.5,72.7,100,0,31.8,25,11.4,11.4,13.6,0,100,38.6,0,0,100,2.3,61.4,11.4,100
"BART",0,0,2.2,1.1,97.8,1.7,0,0,19.1,98.9,96.6,100,100,100,0,0,0,100,100,100,100,100,100,100,1.7,100,97.8,100,98.9,23,99.4,91,98.3,53.9,96.1,100,0,0,0,100,100,98.3,98.9,100,0,100,91,97.2,66.3,80.3,0,100,1.7,1.1,2.2,100,39.9,74.2,9.6,100
"BLAN",0,0,0,0,1.2,0,0,0,0,100,97.5,100,100,100,0,0,0,100,97.5,0,97.5,100,100,100,0,100,100,100,0,1.2,100,0,0,18.5,95.1,100,0,0,0,100,0,100,0,100,0,90.1,70.4,70.4,19.8,72.8,0,100,0,0,0,100,1.2,13.6,0,100
"BONA",0,0,0,59.4,62.4,14.1,0,0,50,99.6,91.5,100,99.6,99.6,3.8,0,0,100,100,59.8,100,99.6,97.9,99.6,1.3,100,99.6,100,56.4,12.4,98.7,46.6,60.3,71.8,82.9,99.6,0,0,0,99.6,48.7,99.1,61.5,100,6,93.6,88.9,88,81.2,88,0,100,65.8,5.1,6,100,31.6,97.4,19.7,100
"CLBJ",0,0,0,0,35,0,0,0,1.3,97,71.6,100,100,92.1,0.6,0,0,100,94.7,60.3,94.4,100,100,100,0,99.8,92.5,100,67.3,0,90.2,67.9,65.4,14.3,95.1,95.7,0,0,0,95.3,56.4,99.6,59.2,100,0,76.3,32.9,20.9,10.7,34,0,93.8,0.2,0.4,0,85.9,0,2.1,0.6,88.9
"CPER",0,0,0,0.3,41.6,0,0,0,0,85.5,54.5,100,100,86.3,0,0,0,100,81.6,55.3,79.7,100,99.7,100,0,100,63.8,100,52.1,0,93.7,91,71.2,17,81.4,83.6,0,0,0,82.2,71.5,100,71.2,100,0,56.2,16.4,4.7,4.9,37.3,0,89,1.1,0,0,87.4,0,1.9,0.5,90.1
"DCFS",0,0.6,0.6,5,51.4,2.2,0,0,9.5,98.9,98.3,100,100,97.8,1.1,0,0,100,100,54.2,100,100,100,100,0,100,84.9,100,46.9,7.3,97.8,54.2,53.6,8.4,100,100,0,0,0,100,54.2,100,52,100,0,85.5,91.1,45.8,53.6,65.9,0,98.3,8.9,6.7,0.6,96.6,6.7,17.3,10.6,97.8
"DEJU",0,0,0,18.5,48.1,7.4,0,0,24.1,85.2,70.4,100,100,98.1,1.9,0,0,100,100,92.6,100,100,98.1,98.1,0,100,98.1,100,81.5,20.4,100,83.3,98.1,85.2,81.5,100,1.9,0,0,100,100,96.3,98.1,98.1,7.4,92.6,66.7,64.8,70.4,64.8,0,98.1,33.3,5.6,11.1,100,3.7,87,7.4,98.1
"DELA",0,0,0,0,0.6,0,0,0,0,89.7,79.3,100,100,96.6,0.6,0,0,100,100,51.7,100,100,100,100,0,100,97.1,100,51.7,0.6,95.4,51.7,50.6,8,100,100,0,0,0,100,51.7,100,50.6,100,0,94.8,51.7,47.7,24.1,74.7,0,87.9,0,0.6,0,85.1,0.6,1.7,0,78.2
"DSNY",0,0,0,0,47.4,0,0,0,0,94,39.1,100,100,99.2,0,0,0,100,98.5,38.3,100,100,98.5,98.5,0,94,97.7,99.2,67.7,6,99.2,67.7,42.9,43.6,100,100,0.8,0,0,100,69.2,100,24.8,98.5,1.5,82,18.8,17.3,11.3,34.6,0,97.7,2.3,0,0,97,0,3.8,1.5,98.5
"GRSM",0,0,0,20.2,45.4,0,0,0,18.5,100,99.2,100,100,100,0,0,0,100,100,100,100,100,100,100,9.2,100,100,100,100,38.7,100,100,91.6,54.6,100,100,0,0,0,100,33.6,99.2,100,100,0,98.3,80.7,75.6,65.5,45.4,0,100,5.9,3.4,9.2,99.2,18.5,47.1,4.2,100
