"siteID","year","n_samples","n_c18_data_available","n_c18_corrected","pct_c18_available","pct_c18_corrected"
"ABBY",2022,64,64,64,100,100
"BARR",2022,44,44,44,100,100
"BART",2022,178,178,178,100,100
"BLAN",2020,81,0,0,0,0
"BONA",2019,60,0,0,0,0
"BONA",2020,30,0,0,0,0
"BONA",2021,30,0,0,0,0
"BONA",2022,30,30,30,100,100
"BONA",2023,30,30,30,100,100
"BONA",2024,54,54,54,100,100
"CLBJ",2019,90,0,0,0,0
"CLBJ",2020,60,0,0,0,0
"CLBJ",2021,84,30,30,35.7,35.7
"CLBJ",2022,78,78,78,100,100
"CLBJ",2023,66,66,66,100,100
"CLBJ",2024,90,90,90,100,100
"CPER",2020,33,0,0,0,0
"CPER",2021,71,0,0,0,0
"CPER",2022,81,81,81,100,100
"CPER",2023,90,90,90,100,100
"CPER",2024,90,90,90,100,100
"DCFS",2019,82,0,0,0,0
"DCFS",2023,97,97,97,100,100
"DEJU",2018,1,1,1,100,100
"DEJU",2023,53,53,53,100,100
"DELA",2019,84,0,0,0,0
"DELA",2024,90,90,90,100,100
"DSNY",2018,43,2,2,4.7,4.7
"DSNY",2023,90,90,90,100,100
"GRSM",2021,119,40,40,33.6,33.6
"GUAN",2018,30,0,0,0,0
"GUAN",2019,30,0,0,0,0
"GUAN",2020,45,0,0,0,0
"GUAN",2021,75,0,0,0,0
"GUAN",2022,90,90,90,100,100
"GUAN",2023,83,83,83,100,100
"GUAN",2024,90,90,90,100,100
"HARV",2018,63,0,0,0,0
"HARV",2020,60,0,0,0,0
"HARV",2021,87,0,0,0,0
"HARV",2022,90,90,90,100,100
"HARV",2023,90,90,90,100,100
"HARV",2024,139,139,139,100,100
"HEAL",2021,54,0,0,0,0
"JERC",2019,91,0,0,0,0
"JERC",2024,89,89,89,100,100
"JORN",2017,79,79,79,100,100
"JORN",2022,90,90,90,100,100
"KONA",2019,88,0,0,0,0
"KONA",2024,90,90,90,100,100
"KONZ",2017,53,53,53,100,100
"KONZ",2020,60,0,0,0,0
"KONZ",2021,90,0,0,0,0
"KONZ",2022,84,84,84,100,100
"KONZ",2023,90,90,90,100,100
"KONZ",2024,90,90,90,100,100
"LAJA",2020,90,0,0,0,0
"LENO",2018,30,0,0,0,0
"LENO",2023,87,87,87,100,100
"MLBS",2018,8,4,4,50,50
"MLBS",2023,110,110,110,100,100
"MOAB",2017,80,80,80,100,100
"MOAB",2022,84,84,84,100,100
"NIWO",2019,102,0,0,0,0
"NIWO",2020,60,0,0,0,0
"NIWO",2021,81,0,0,0,0
"NIWO",2022,72,72,72,100,100
"NIWO",2023,81,81,81,100,100
"NIWO",2024,114,114,114,100,100
"NOGP",2020,43,0,0,0,0
"OAES",2018,29,0,0,0,0
"OAES",2023,90,90,90,100,100
"ONAQ",2020,39,0,0,0,0
"ONAQ",2021,78,0,0,0,0
"ONAQ",2022,67,67,67,100,100
"ONAQ",2023,82,82,82,100,100
"ONAQ",2024,90,90,90,100,100
"ORNL",2017,89,89,89,100,100
"ORNL",2020,60,0,0,0,0
"ORNL",2021,90,30,30,33.3,33.3
"ORNL",2022,84,84,84,100,100
"ORNL",2023,90,90,90,100,100
"ORNL",2024,90,90,90,100,100
"OSBS",2020,59,0,0,0,0
"OSBS",2021,99,0,0,0,0
"OSBS",2022,76,76,76,100,100
"OSBS",2023,75,75,75,100,100
"OSBS",2024,87,87,87,100,100
"PUUM",2018,42,0,0,0,0
"PUUM",2019,81,0,0,0,0
"PUUM",2020,59,0,0,0,0
"PUUM",2021,89,30,30,33.7,33.7
"PUUM",2022,90,90,90,100,100
"PUUM",2023,90,90,90,100,100
"PUUM",2024,94,94,94,100,100
"RMNP",2020,62,0,0,0,0
"SCBI",2017,36,36,18,100,50
"SCBI",2020,60,0,0,0,0
"SCBI",2021,90,30,30,33.3,33.3
"SCBI",2022,90,90,90,100,100
"SCBI",2023,87,87,85,100,97.7
"SCBI",2024,90,90,90,100,100
"SERC",2021,84,30,30,35.7,35.7
"SJER",2018,1,1,0,100,0
"SJER",2019,60,0,0,0,0
"SJER",2020,57,0,0,0,0
"SJER",2021,84,24,24,28.6,28.6
"SJER",2022,90,90,90,100,100
"SJER",2023,90,90,90,100,100
"SJER",2024,90,90,90,100,100
"SOAP",2018,1,1,1,100,100
"SOAP",2024,89,89,89,100,100
"SRER",2020,30,0,0,0,0
"SRER",2021,90,0,0,0,0
"SRER",2022,90,90,90,100,100
"SRER",2023,90,90,90,100,100
"SRER",2024,90,90,90,100,100
"STEI",2017,24,24,24,100,100
"STEI",2022,79,79,79,100,100
"STER",2017,35,35,35,100,100
"STER",2022,87,87,87,100,100
"TALL",2017,71,71,71,100,100
"TALL",2020,60,0,0,0,0
"TALL",2021,90,30,30,33.3,33.3
"TALL",2022,90,90,90,100,100
"TALL",2023,90,90,90,100,100
"TALL",2024,90,90,90,100,100
"TEAK",2021,75,0,0,0,0
"TOOL",2017,2,2,2,100,100
"TOOL",2021,30,0,0,0,0
"TOOL",2022,50,50,50,100,100
"TOOL",2023,30,30,30,100,100
"TOOL",2024,30,30,29,100,96.7
"TREE",2020,62,0,0,0,0
"UKFS",2023,90,90,90,100,100
"UNDE",2019,113,0,0,0,0
"UNDE",2020,60,0,0,0,0
"UNDE",2021,90,0,0,0,0
"UNDE",2022,90,90,90,100,100
"UNDE",2023,90,90,90,100,100
"UNDE",2024,106,106,106,100,100
"WOOD",2020,30,0,0,0,0
"WOOD",2021,93,0,0,0,0
"WOOD",2022,81,81,81,100,100
"WOOD",2023,88,88,88,100,100
"WOOD",2024,86,86,86,100,100
"WREF",2019,129,0,0,0,0
"WREF",2020,60,0,0,0,0
"WREF",2021,90,0,0,0,0
"WREF",2022,40,40,40,100,100
"WREF",2023,76,76,76,100,100
"WREF",2024,89,89,89,100,100
"YELL",2020,60,0,0,0,0
"YELL",2021,75,0,0,0,0
"YELL",2022,13,13,13,100,100
"YELL",2023,52,52,52,100,100
"YELL",2024,78,78,78,100,100
